start_date,registrations,views,conversion_rate
01/04/2020,0,196,0.0
01/05/2020,2016,163226,0.012350973496869372
02/03/2020,63,8694,0.007246376811594203
02/05/2019,126,2583,0.04878048780487805
02/06/2020,0,133,0.0
03/02/2020,21,6097,0.003444316877152698
03/03/2020,378,10073,0.037526059763724806
03/04/2019,0,210,0.0
03/12/2018,308,3857,0.07985480943738657
04/02/2020,0,413,0.0
04/03/2020,42,1694,0.024793388429752067
04/05/2020,0,112,0.0
04/07/2019,0,1715,0.0
04/09/2019,21,952,0.022058823529411766
04/11/2019,0,105,0.0
05/05/2020,6055,268394,0.022560116843148504
05/06/2020,8246,690452,0.011942901171985888
06/03/2019,490,9016,0.05434782608695652
06/03/2020,56,1078,0.05194805194805195
06/04/2020,399,24094,0.01656013945380593
06/05/2020,2933,91175,0.03216890595009597
06/11/2019,0,91,0.0
07/01/2020,98,72359,0.0013543581309857792
07/02/2020,35,6839,0.00511770726714432
07/04/2020,385,30842,0.012482977757603268
07/05/2020,2044,196504,0.010401823881447706
08/04/2020,168,66395,0.002530311017395888
08/05/2020,168,9135,0.01839080459770115
09/01/2020,0,16835,0.0
09/02/2020,21,2849,0.007371007371007371
10/01/2020,0,357,0.0
10/03/2020,224,28847,0.007765105556903664
10/04/2020,0,21,0.0
10/06/2020,42,756,0.05555555555555555
10/10/2019,1141,7511,0.15191053122087605
11/04/2019,21,112,0.1875
11/10/2019,147,1652,0.08898305084745763
11/11/2019,21,1498,0.014018691588785047
12/04/2019,21,252,0.08333333333333333
12/05/2020,147,7056,0.020833333333333332
12/06/2020,700,20776,0.03369272237196765
12/11/2019,378,8491,0.04451772464962902
13/01/2020,0,56,0.0
13/02/2020,119,4641,0.02564102564102564
13/03/2020,119,16156,0.007365684575389948
13/04/2019,0,56,0.0
13/04/2020,21,40411,0.0005196604884808592
13/05/2020,0,105,0.0
13/12/2019,5670,54754,0.10355407824085912
14/05/2020,245,3080,0.07954545454545454
14/10/2019,0,91,0.0
14/11/2018,0,35,0.0
15/04/2020,98,4508,0.021739130434782608
15/07/2019,0,56,0.0
15/10/2019,0,5306,0.0
16/04/2019,63,966,0.06521739130434782
16/10/2019,2240,22757,0.09843125192248539
17/02/2020,861,43365,0.019854721549636804
17/04/2020,0,21,0.0
17/06/2019,0,3066,0.0
17/12/2019,0,56,0.0
18/11/2019,35,147,0.23809523809523808
18/12/2019,0,308,0.0
19/02/2020,0,196,0.0
19/03/2019,0,35,0.0
19/11/2019,21,343,0.061224489795918366
20/01/2020,0,7000,0.0
20/02/2020,0,112,0.0
20/03/2019,0,3626,0.0
20/04/2020,0,364,0.0
20/06/2019,0,455,0.0
21/01/2020,21,14462,0.001452081316553727
21/02/2020,77,1715,0.044897959183673466
21/05/2020,35,126,0.2777777777777778
22/01/2019,112,637,0.17582417582417584
22/05/2020,21,70,0.3
22/10/2019,2338,64729,0.03611982264518222
23/03/2020,175,6027,0.029036004645760744
23/05/2019,0,112,0.0
23/08/2019,490,28476,0.01720747295968535
23/09/2019,0,140,0.0
23/10/2019,0,56,0.0
24/03/2020,63,4935,0.01276595744680851
24/04/2020,0,56,0.0
25/04/2019,0,42,0.0
25/05/2020,56,602,0.09302325581395349
26/05/2020,1687,213101,0.007916433991393752
26/11/2019,0,77,0.0
26/12/2019,322,34790,0.00925553319919517
27/02/2020,784,26733,0.029327048965697825
27/03/2020,364,12894,0.02823018458197611
27/04/2020,294,30219,0.009728978457261988
27/05/2020,1148,26404,0.043478260869565216
28/02/2020,77,3654,0.0210727969348659
28/04/2020,203,18494,0.01097653292959879
28/06/2018,56,7462,0.0075046904315197
28/06/2019,0,12313,0.0
28/11/2019,126,13195,0.009549071618037135
29/02/2020,392,43869,0.008935694909845221
29/04/2020,105,31675,0.0033149171270718232
29/05/2020,301,4984,0.060393258426966294
30/04/2020,42,1834,0.022900763358778626
30/07/2019,0,133,0.0
31/03/2020,924,24227,0.03813926610806125
31/12/2018,0,21,0.0
